Candidate_ID,Name,Email,Phone,DOB,Verification_Status,Turnaround_Time_Days,Employment_Check,Education_Check,Criminal_Record_Check,Document_Issues_Flag,Report_Generated,Inconsistent_Flag
CID1118,Janice Owen,jlamb@hotmail.com,001-142-721-2991x763,1979-08-18 00:00:00,In Progress,15,Fail,Pass,Record Found,0,2025-06-09 00:00:00,1
CID1119,Robert Watts,ariascarolyn@hotmail.com,180.304.0531,1991-06-13 00:00:00,Pending,27,Pass,Pending,Pending,0,2025-04-27 00:00:00,0
CID1120,Adam Romero,weavercheryl@hotmail.com,(675)039-7621,1997-03-10 00:00:00,In Progress,19,Pending,Pending,Record Found,0,2025-05-30 00:00:00,0
CID1121,Patrick Curry,zacharyhawkins@gmail.com,5257808811,1994-02-06 00:00:00,Pending,2,Pass,Pass,Clear,0,2025-07-07 00:00:00,0
CID1122,Briana Guerra,okim@morton.biz,(929)930-8720,1997-06-25 00:00:00,Verified,20,Pass,Pass,Pending,0,2025-05-16 00:00:00,0
CID1123,Julie Cortez,kellyanthony@hotmail.com,613-588-7745,1995-12-18 00:00:00,Discrepancy,25,Pending,Pending,Record Found,0,2025-06-04 00:00:00,0
CID1124,Matthew Pena,vgreene@chavez.net,(602)148-2929,2000-01-30 00:00:00,Pending,6,Pending,Pending,Clear,0,2025-06-16 00:00:00,0
CID1125,Stacy Morgan,jenniferbrown@yahoo.com,(619)348-6826x948,1990-01-24 00:00:00,In Progress,1,Fail,Pass,Record Found,0,2025-05-16 00:00:00,1
CID1126,Taylor Peterson,diane74@miller.biz,725.158.4543,1997-10-15 00:00:00,Verified,24,Pending,Pass,Pending,0,2025-05-05 00:00:00,0
CID1127,Marilyn Fowler,barnettjessica@martinez.com,+1-393-435-8535,1993-02-01 00:00:00,Pending,15,Fail,Pass,Pending,0,2025-06-20 00:00:00,1
CID1128,Jeffery Walker DDS,christopherbenton@hotmail.com,974.271.2609x36272,1989-07-23 00:00:00,In Progress,28,Pending,Fail,Clear,0,2025-06-21 00:00:00,1
CID1129,Kathy Davis,conwayshelly@porter.com,001-409-772-8944x3965,1979-11-15 00:00:00,In Progress,23,Pass,Pending,Clear,0,2025-05-03 00:00:00,0
CID1130,Jessica Montgomery,jrandolph@melton.biz,001-394-553-6789x6169,1981-01-31 00:00:00,In Progress,10,Fail,Fail,Clear,1,2025-05-10 00:00:00,1
CID1131,Brian Mcintyre,tbaker@gmail.com,+1-829-977-8083x0358,1994-08-31 00:00:00,Pending,19,Fail,Pending,Record Found,1,2025-05-18 00:00:00,1
CID1132,Denise Mitchell,edwardsnathan@hotmail.com,717-412-5397x474,1985-06-11 00:00:00,Pending,17,Fail,Pending,Record Found,0,2025-07-02 00:00:00,1
CID1133,Eugene Anderson,amandagonzalez@baker-sutton.org,847-162-6185,1998-08-16 00:00:00,Pending,5,Pass,Pending,Record Found,0,2025-07-05 00:00:00,0
CID1134,Kyle Huff,brandon51@hansen.net,2346842065,1994-04-17 00:00:00,Discrepancy,29,Pass,Pending,Clear,0,2025-04-24 00:00:00,0
CID1135,Randall Johnson,williamguzman@hotmail.com,001-974-798-4280x4948,1982-05-08 00:00:00,Pending,4,Pass,Pending,Pending,1,2025-05-06 00:00:00,0
CID1136,Christopher Patterson,brian29@hotmail.com,(754)047-1130,1997-02-02 00:00:00,Pending,10,Pass,Pending,Pending,0,2025-04-28 00:00:00,0
CID1137,Joe Pearson,jessica45@hotmail.com,843.323.4597x1603,1991-08-17 00:00:00,Pending,24,Pass,Pending,Record Found,0,2025-07-10 00:00:00,0
CID1138,Gina Shepard,maxwelltrevor@gmail.com,+1-906-209-8728x98549,1992-05-08 00:00:00,Discrepancy,17,Fail,Fail,Record Found,0,2025-04-29 00:00:00,1
CID1139,Caitlin Anderson,dharris@ray.com,(958)577-8469,1994-09-11 00:00:00,Pending,10,Pass,Pass,Pending,0,2025-06-17 00:00:00,0
CID1140,James Anderson,mmckinney@hotmail.com,671-768-8371x1920,1979-07-31 00:00:00,In Progress,17,Fail,Pass,Pending,0,2025-04-19 00:00:00,1
CID1141,Elizabeth Rose,jennifer02@peterson-brown.org,328.418.4506x46044,1983-06-16 00:00:00,Pending,28,Pass,Fail,Record Found,0,2025-07-16 00:00:00,1
CID1142,Daniel Santiago,cookbarbara@schmidt.com,001-191-469-2164,1982-06-24 00:00:00,In Progress,20,Pending,Fail,Record Found,0,2025-04-18 00:00:00,1
CID1143,Warren Hines,xrogers@gmail.com,001-591-330-3076x5844,2000-03-01 00:00:00,In Progress,24,Fail,Fail,Pending,0,2025-06-29 00:00:00,1
CID1144,Elizabeth Lee,gary94@trevino-henson.com,(730)256-1193x2953,1995-06-02 00:00:00,In Progress,5,Pending,Fail,Clear,0,2025-05-17 00:00:00,1
CID1145,Emily Fleming MD,hnewman@valdez.com,+1-607-663-6547x1177,1985-02-03 00:00:00,Discrepancy,2,Fail,Pending,Record Found,0,2025-06-01 00:00:00,1
CID1146,Robin Alvarez,butlerkelsey@yahoo.com,+1-136-348-7346x719,2000-07-11 00:00:00,Discrepancy,6,Pending,Pass,Pending,0,2025-04-30 00:00:00,0
CID1147,James Gallegos,michaelsanchez@jennings-randall.com,395-641-4100x573,2002-03-17 00:00:00,Discrepancy,21,Pass,Pending,Pending,0,2025-05-13 00:00:00,0
CID1148,Samantha Bailey,crawfordann@gmail.com,242.676.2695,1985-09-06 00:00:00,Pending,2,Pass,Pass,Pending,0,2025-07-01 00:00:00,0
CID1149,Shane Anderson,xhoward@yahoo.com,+1-385-922-2398x31436,1989-07-23 00:00:00,In Progress,13,Pass,Pass,Pending,0,2025-05-19 00:00:00,0
CID1150,William Gibbs,qroberts@gaines.info,001-454-098-9779x2597,2000-01-12 00:00:00,Discrepancy,11,Fail,Fail,Clear,0,2025-05-23 00:00:00,1
CID1151,Lori Hill DDS,josewebb@smith.com,263.353.6236x033,1997-04-30 00:00:00,Discrepancy,11,Pending,Pending,Pending,0,2025-04-25 00:00:00,0
CID1152,Christopher Clark,carterkathryn@king-guerrero.com,329.116.7289x18369,1999-07-21 00:00:00,Pending,16,Pass,Fail,Record Found,0,2025-06-29 00:00:00,1
CID1153,Parker Coleman,laurawells@sherman.com,615.014.1817,1991-06-03 00:00:00,Discrepancy,11,Pending,Pending,Clear,0,2025-06-13 00:00:00,0
CID1154,Christine Hawkins,rbarber@hotmail.com,161-844-4409x817,1991-10-14 00:00:00,Pending,19,Pending,Pass,Pending,0,2025-04-21 00:00:00,0
CID1155,Jeffrey Davenport,joekennedy@martin-snyder.com,+1-532-093-3919x4779,2001-05-04 00:00:00,Verified,15,Pass,Fail,Clear,0,2025-05-21 00:00:00,1
CID1156,Bobby Williams,paulasingh@davis.org,260.186.3037,2003-04-23 00:00:00,Discrepancy,25,Pass,Fail,Record Found,0,2025-05-16 00:00:00,1
CID1157,Samantha Hill,sblevins@gmail.com,801.974.4943,1997-12-09 00:00:00,Verified,23,Pending,Pass,Pending,0,2025-05-28 00:00:00,0
CID1158,April Callahan,zluna@hotmail.com,422-095-7050,1983-04-18 00:00:00,Pending,23,Pass,Pass,Record Found,0,2025-05-08 00:00:00,0
CID1159,Dana Lopez,gsmith@meadows-gray.com,207-602-9512,1993-05-14 00:00:00,In Progress,16,Pass,Pass,Pending,0,2025-05-22 00:00:00,0
CID1160,Michael Yang,erica70@fletcher.info,4417437494,1981-01-11 00:00:00,Discrepancy,11,Pass,Fail,Pending,0,2025-06-12 00:00:00,1
CID1161,Robert Monroe,hillchristopher@jones.com,246.924.0925x2840,1990-04-06 00:00:00,Pending,22,Fail,Pending,Pending,0,2025-04-21 00:00:00,1
